id_ext,createdAt,created_at,date_closed,date_resolve,updated_at,first_status_change,status,type,priority,requester_id,responder_id,group_id,source,subject
6000000000534,2025-07-03 00:12:40,2025-07-03 00:12:40,,2025-07-04 03:21:07.376070,2025-07-04 03:21:07.376070,,4,Transferencia fallida,3,2000000000514,5000000000014,2,portal,Transferencia duplicada
6000000002395,2025-07-03 00:29:05,2025-07-03 00:29:05,2025-07-07 17:19:38.158901,2025-07-06 16:02:06.033958,2025-07-07 17:19:38.158901,2025-07-03 01:47:38.659514,5,Consulta general,3,2000000000768,5000000000012,6,facebook,Consulta sobre limites de cuenta
6000000004796,2025-07-03 00:58:15,2025-07-03 00:58:15,,2025-07-06 19:02:54.009146,2025-07-06 19:02:54.009146,2025-07-03 03:51:12.140014,4,Tarjeta bloqueada,2,2000000000270,5000000000005,5,chat,Tarjeta bloqueada por intentos fallidos
6000000001886,2025-07-03 02:13:04,2025-07-03 02:13:04,2025-07-07 11:12:58.462073,2025-07-06 18:00:35.444185,2025-07-07 11:12:58.462073,2025-07-06 09:07:27.176855,5,Verificacion de cuenta,2,2000000000369,5000000000015,3,portal,Selfie no coincide con documento
6000000004767,2025-07-03 02:21:42,2025-07-03 02:21:42,,2025-07-05 20:25:38.310252,2025-07-05 20:25:38.310252,,4,Carga de saldo,3,2000000000520,5000000000002,2,portal,Comprobante de pago no reconocido
6000000003419,2025-07-03 02:50:09,2025-07-03 02:50:09,2025-07-14 14:17:02.736089,2025-07-13 11:07:06.888175,2025-07-14 14:17:02.736089,,5,Problema de retiro,1,2000000000889,5000000000004,4,whatsapp,Retiro rechazado por el banco
6000000001215,2025-07-03 03:24:38,2025-07-03 03:24:38,,2025-07-13 06:08:53.381589,2025-07-13 06:08:53.381589,2025-07-10 20:15:12.785191,4,Tarjeta bloqueada,1,2000000000140,5000000000011,5,facebook,Tarjeta fisica no llego
6000000001490,2025-07-03 03:56:57,2025-07-03 03:56:57,,2025-07-04 08:39:45.599764,2025-07-04 08:39:45.599764,,4,Tarjeta bloqueada,2,2000000000571,5000000000001,1,chat,Tarjeta bloqueada por intentos fallidos
6000000000494,2025-07-03 06:44:21,2025-07-03 06:44:21,,2025-07-04 07:52:48.212421,2025-07-04 07:52:48.212421,,4,Consulta general,2,2000000000050,5000000000014,2,portal,Consulta por tasa de cambio
6000000005912,2025-07-03 08:24:57,2025-07-03 08:24:57,,2025-07-03 08:29:55.000000,2025-07-03 08:29:55.000000,,5,Reportes del sistema,2,2000000000231,5000000000001,1,whatsapp,POSSIBLE DUPLICATED USER
6000000001242,2025-07-03 09:39:44,2025-07-03 09:39:44,2025-07-06 09:14:01.811488,2025-07-06 06:38:59.090584,2025-07-06 09:14:01.811488,2025-07-03 10:03:50.819772,5,Reclamo por cobro,3,2000000000499,5000000000011,5,whatsapp,Reclamo por tipo de cambio aplicado
6000000004677,2025-07-03 10:20:03,2025-07-03 10:20:03,,2025-07-09 02:52:13.729844,2025-07-09 02:52:13.729844,,4,Verificacion de cuenta,2,2000000000374,5000000000004,4,portal,Documento de identidad rechazado
6000000001489,2025-07-03 12:12:09,2025-07-03 12:12:09,,2025-07-04 00:02:11.706621,2025-07-04 00:02:11.706621,2025-07-03 12:21:46.654089,4,Problema de retiro,4,2000000000825,5000000000008,2,whatsapp,Retiro rechazado por el banco
6000000001083,2025-07-03 14:09:23,2025-07-03 14:09:23,2025-07-07 09:10:52.245581,2025-07-07 01:06:00.028465,2025-07-07 09:10:52.245581,,5,Problema de retiro,4,2000000000639,5000000000006,6,chat,Retiro rechazado por el banco
6000000001794,2025-07-03 14:36:58,2025-07-03 14:36:58,2025-07-05 23:00:30.196383,2025-07-05 11:20:08.823739,2025-07-05 23:00:30.196383,2025-07-05 04:12:12.007367,5,Carga de saldo,3,2000000000551,5000000000015,3,chat,Comprobante de pago no reconocido
6000000003767,2025-07-03 14:42:10,2025-07-03 14:42:10,2025-07-05 09:49:45.441547,2025-07-04 17:31:12.419510,2025-07-05 09:49:45.441547,2025-07-03 19:55:45.681061,5,Verificacion de cuenta,3,2000000000519,5000000000005,5,chat,Documento de identidad rechazado
6000000000440,2025-07-03 16:22:42,2025-07-03 16:22:42,2025-07-04 15:03:40.205232,2025-07-04 12:29:02.363391,2025-07-04 15:03:40.205232,,5,Tarjeta bloqueada,3,2000000000105,5000000000006,6,facebook,Tarjeta fisica no llego
6000000004950,2025-07-03 16:28:10,2025-07-03 16:28:10,2025-07-07 12:38:25.661812,2025-07-06 18:13:20.544704,2025-07-07 12:38:25.661812,,5,Problema de retiro,2,2000000000087,5000000000009,3,telefono,Retiro rechazado por el banco
6000000002953,2025-07-03 20:58:25,2025-07-03 20:58:25,,2025-07-10 15:06:26.712029,2025-07-10 15:06:26.712029,,4,Verificacion de cuenta,1,2000000000322,5000000000010,4,email,Documento de identidad rechazado
6000000004719,2025-07-03 21:20:34,2025-07-03 21:20:34,2025-07-07 05:26:13.911016,2025-07-06 12:49:10.313195,2025-07-07 05:26:13.911016,2025-07-04 14:48:45.638714,5,Transferencia fallida,2,2000000000130,5000000000011,5,chat,Transferencia duplicada
6000000001579,2025-07-03 22:18:30,2025-07-03 22:18:30,,2025-07-04 22:27:20.957465,2025-07-04 22:27:20.957465,,4,Verificacion de cuenta,1,2000000000097,5000000000005,5,facebook,Solicitud de verificacion en revision
6000000000759,2025-07-03 22:31:16,2025-07-03 22:31:16,,2025-07-08 07:31:57.225128,2025-07-08 07:31:57.225128,2025-07-05 10:05:03.521049,4,Tarjeta bloqueada,1,2000000000535,5000000000012,6,whatsapp,Tarjeta fisica no llego
6000000006287,2025-07-04 03:09:31,2025-07-04 03:09:31,,2025-07-04 03:13:27.000000,2025-07-04 03:13:27.000000,,5,Reportes del sistema,2,2000000000737,5000000000001,1,whatsapp,POSSIBLE DUPLICATED USER
6000000002503,2025-07-04 03:42:36,2025-07-04 03:42:36,2025-07-07 18:41:59.918085,2025-07-06 08:01:02.789663,2025-07-07 18:41:59.918085,2025-07-04 05:02:40.096602,5,Verificacion de cuenta,2,2000000000286,5000000000010,4,whatsapp,Solicitud de verificacion en revision
6000000004586,2025-07-04 05:57:28,2025-07-04 05:57:28,,2025-07-06 03:12:40.968011,2025-07-06 03:12:40.968011,2025-07-04 18:16:12.101446,4,Consulta general,1,2000000000743,5000000000013,1,whatsapp,Como cerrar mi cuenta
